match_id,t1_name,t2_name,t1_win,t1_officialwin_before,t2_officialwin_before,t1_pagerank_before,t2_pagerank_before,t1_playerrank_before,t2_playerrank_before
34606,Houston Outlaws,Florida Mayhem,0,5,9,0.029631083303496474,0.057365188344932455,1469.7015178496151,1798.6685674470525
34607,London Spitfire,Hangzhou Spark,1,4,6,0.029274121402443398,0.05198699376982731,1605.5704958699532,1585.3588539695718
34608,Shanghai Dragons,Seoul Dynasty,1,15,7,0.10969479640488984,0.08409839559077156,2041.5176639346046,1670.4930745877928
34609,Guangzhou Charge,Chengdu Hunters,1,8,4,0.06844294215240444,0.07396110554223145,1862.4168085652473,1437.5245763928328
34610,Washington Justice,San Francisco Shock,0,3,11,0.015706555488365897,0.06342454432578835,1314.2972487298048,1915.2663812016322
34611,Los Angeles Valiant,Florida Mayhem,1,6,10,0.050789315013414216,0.05862727214566771,1669.9228883027672,1779.1386697115177
34612,Philadelphia Fusion,Boston Uprising,1,13,2,0.06694752992581067,0.017759177519239135,2122.3382703937664,1314.4643499930316
34613,New York Excelsior,London Spitfire,1,10,5,0.06372187304987428,0.03178306780535925,1859.861026049059,1545.7435391387587
34614,Shanghai Dragons,Chengdu Hunters,1,16,4,0.11006024834725107,0.07397104638877115,1948.6993563209285,1442.78931189596
34615,Hangzhou Spark,Guangzhou Charge,0,6,9,0.05637027555779717,0.06707748486926084,1668.387837132432,1844.8478378265033
34616,Vancouver Titans,Dallas Fuel,1,3,6,0.02162389577330287,0.02227659289046419,1230.6691709560603,1355.0885895974516
34617,Los Angeles Gladiators,Houston Outlaws,0,6,5,0.050062739296218725,0.024089297436265134,1482.5937516794831,1501.8594510259818
34618,Toronto Defiant,Atlanta Reign,0,5,6,0.024653475826075535,0.02783136674940954,1403.373358766472,1582.1175001913239
34619,San Francisco Shock,Paris Eternal,1,12,8,0.05753481421579175,0.059159473184548256,1864.3956166409062,1663.443392909228
34620,New York Excelsior,Hangzhou Spark,0,11,6,0.06511197812094,0.04624145186855361,1773.1238706426211,1743.646132189057
34621,London Spitfire,Chengdu Hunters,1,5,4,0.02851715125088267,0.07572479828592914,1585.4670808409821,1436.6719086741998
34622,Seoul Dynasty,Guangzhou Charge,0,7,10,0.08563752472522211,0.06142116395713906,1620.496228909986,1817.043045559285
34623,Washington Justice,Los Angeles Valiant,0,3,7,0.015331137009731318,0.05024343807118341,1312.19039105462,1590.3829153739377
34624,Vancouver Titans,Toronto Defiant,0,4,5,0.022030079445520292,0.024165414951081335,1077.6261606028538,1469.1129787747934
34625,Philadelphia Fusion,Houston Outlaws,1,14,6,0.07321637977040761,0.02607018149329417,2094.440624575872,1446.0435716465342
34626,San Francisco Shock,Philadelphia Fusion,1,13,15,0.06200369285878328,0.06362304215258799,1900.686016597037,2072.4675265481233
34627,Vancouver Titans,Atlanta Reign,0,4,7,0.024519578931856342,0.02703300943178852,1274.4353916010857,1621.3036360156418
34631,Los Angeles Gladiators,Atlanta Reign,1,6,8,0.04473197574165132,0.028992369412383968,1555.2259172595884,1613.799550569079
34632,Florida Mayhem,Dallas Fuel,1,10,6,0.062036151550542346,0.02239882238079672,1840.9285858632393,1477.5021714356742
34633,Paris Eternal,Boston Uprising,1,8,2,0.0600570847073114,0.01817417860074422,1686.4459075696377,1308.074197114609
