match_id,t1_win,avg_10_t1_Hero_Damage_Done,avg_10_t1_Final_Blows,avg_10_t1_Healing_done,avg_10_t1_Deaths,avg_10_t2_Hero_Damage_done,avg_10_t2_Final_Blows,avg_10_t2_Healing_done,avg_10_t2_Deaths
32855,1,4269.352609344716,3.3121171655386834,2170.4524726932164,2.8364407641049367,3640.9979301845756,2.748352541617206,2637.230601830035,3.453058321519053
32856,0,3930.875032243012,2.6473685473719573,2385.7062833440527,5.127534870699369,4550.754480868127,4.90459857197331,2609.1471171632134,2.703102622053472
32857,1,3571.1739936255117,4.500561928157898,1480.2523082885634,3.242530838003525,2683.7966081524783,3.1362183515116064,1543.1551944243174,4.606874414649817
32861,0,4126.630527657475,3.6412315614278943,1906.7440592553198,3.6847522573812155,3625.5687726910865,3.597710865474572,2195.1929682235464,3.6992591560323227
32862,0,4261.966242446239,3.1960063970470163,3044.44467858852,4.095623012512102,5229.379083258241,4.048274769592888,2477.2232396078807,3.267028761425839
32863,1,3007.5136139615543,2.865973413444211,1927.4018453322885,2.4384525175160694,3093.014829391823,2.3276137667198844,1656.0974865153792,2.976812164240396
32864,1,4048.187743688482,3.57881601296679,2192.036184724122,2.260304850294815,3375.766323807066,2.17957967707,2288.0403568466936,3.928625096940988
33021,1,3310.74073519471,3.9850045623258694,1363.9035798196342,2.117033673735618,2587.9143265126895,2.0547679774492766,1353.1375974099647,4.109535954898553
33022,0,2823.247754437582,1.8374920035506201,1242.8108169767142,3.818538069878633,3306.1161685332922,3.7324056322121977,1930.7127069821724,1.8662028161060988
33071,0,2365.112691663991,1.833379022902848,1643.8809872365878,4.387014090517529,3515.0266160303117,4.288797357147734,1563.657651808691,1.9970735785191736
33081,0,3034.7867885571795,2.6879999457534147,1782.817596780791,3.3747152603619512,3215.327630117302,3.296233510120976,1762.4864930543579,2.8449634462353663
34128,0,2528.5773464749277,0.5364427243476959,1837.067849791518,2.929802571437416,3878.9151863319303,2.764743271638125,1798.4144132180008,0.5777075492975188
34129,1,3755.782559747092,2.6308153110907693,1852.6389466143914,1.6940856169902683,2992.960240253088,1.6542247789434383,1851.485084134558,2.7105369871844296
34130,1,3842.9157478676866,3.259717306715261,2176.260117250455,2.211951029556784,3305.259669186886,2.0664279355069954,2004.9639735083394,3.317926544335176
34189,1,3725.346828878343,3.9309847355450467,1505.0814971185932,2.057337805518903,2996.0375063313973,2.057337805518903,2007.8786756007348,4.041199260840703
34190,0,2974.7149518589827,1.7524389240260614,1945.1343448139814,3.5614081359239314,3774.116821512338,3.5614081359239314,1780.9649188971719,1.8937646437055826
34191,0,3281.2744741086326,1.610991144676752,1949.3516355476497,4.701463952832154,4115.569725277184,4.569954471634052,1822.4668575497378,1.6438685149762775
34192,1,3496.482333437181,2.8339984343162974,2218.520236413422,2.4291415151282547,3925.2079022458875,2.407833256223621,1858.5904453280955,2.855306693220931
34193,1,3861.4258999999247,2.706008170277811,2171.488592934863,1.860380617065995,3616.644826508394,1.8321930319589346,1980.75534411791,2.790570925598993
34194,0,3567.0776845908204,2.200780622284429,2032.0836087279692,3.405418436587485,3637.508034176981,3.335920101146924,1881.9516845517192,2.2934450695385102
34195,0,3183.2059348674848,1.7710346279676998,1749.719993788096,4.341891345985329,3837.7181840743583,4.227631047406768,1999.0492126715233,1.8281647772569805
34196,0,3377.7074808907187,3.3021131027738146,1987.302003375735,3.6944433724103076,3570.369501232486,3.498278237592061,1864.75066822169,3.400195670182938
34197,1,4191.1157989318,2.503896884333739,2232.0577136556913,2.503896884333739,3844.714474978249,2.4607262483969503,2481.0766836259936,2.5326773082915977
34198,0,3162.957104603298,1.7781977056494371,1867.9926695847016,2.390688026484243,3074.855926052956,2.272141512774281,1970.421139519859,1.7781977056494371
34201,0,3817.8396306828818,2.6266125467698807,2105.576174576858,3.3590333530807133,3810.5548558276582,3.3590333530807133,2200.835794284746,2.6518684366426686
34202,0,3531.665497983881,3.0288863606722307,2023.1010771553945,2.8863505319347142,3537.758909704614,2.8328995961581453,1554.7432818610337,3.0467033392644205
34211,1,3538.4626729202496,3.556574759331074,2059.5520523986847,2.526165249618333,3676.189572063641,2.4929262331759863,1696.1570522801157,3.5731942675522474
34221,1,4643.874468216553,2.975573784350211,2748.632525793712,3.5501673427074927,4837.061216157931,3.4680825486564526,2771.351954357629,3.037137379888491
34222,0,3095.7584401552576,2.161532079222041,1553.6659035905911,3.739450497054132,3123.8408107107216,3.696219855469691,1886.9919979155125,2.204762720806482
34223,1,3282.11027298838,3.0047284651608126,1806.7016944853226,1.916809538119829,2808.1007833598783,1.8391010433311872,1797.8820626977756,3.160145454738096
34224,0,3214.2989016662195,3.5702305241309644,1690.0524543064498,3.520180563512306,3254.0241582943913,3.40339732206877,1687.9814932565137,3.603597164543403
34225,0,3165.7742820772605,2.235778820968044,1847.7122998514299,3.8327636930880753,3431.2565605256455,3.747591166575007,2011.8329870989226,2.278365084224578
34226,1,3855.0228491623293,3.161022601298169,1843.5213039800549,2.020981663125059,3079.810526850862,2.020981663125059,1823.5206419876465,3.186932622620285
34227,1,4564.160171541701,3.7667194469540006,2179.2228255522023,2.2179667809475334,3536.3645661463784,2.122364764527381,2460.66721157392,3.8049602535220615
34228,1,3716.1366287089318,3.2370140440423563,2181.644191010485,2.777110409369672,3882.7243457048667,2.635601598701154,1828.3528823077,3.343145652043745
34229,0,3113.95511567285,1.1802540965256352,1896.8011372769752,2.664002103586434,3533.587710493792,2.5291159211263614,1770.8647453598019,1.2814187333706897
34230,1,3552.6610540718816,3.646904770826654,1734.0964454989173,2.335925931640602,2996.287902039199,2.31208995274631,2038.5191086854381,3.694576728615238
34231,1,3953.5512587676494,3.5566699880849075,2188.7403606524044,2.9281205505354198,3948.9052890873436,2.8208072319294093,1914.8309331567143,3.648652832604345
34232,0,2923.45734561888,1.735969734602276,2248.357882897511,3.854441275133867,4060.36533225906,3.854441275133867,1624.8006630971286,1.7653929504429926
34233,1,3945.542791117637,3.1816404543736803,2131.0827047246717,2.666692866382564,3793.9434738966243,2.537955969384785,1953.236665286345,3.347159321942253
34234,0,2917.736393619901,1.3402720886325248,1594.3076944805111,2.931845193883648,3367.8422123838855,2.931845193883648,1832.7306209664473,1.5078060997115903
34235,0,3414.2932916867803,1.6749979809993087,1993.271974736571,4.615549992086984,4334.366487349107,4.354994750598203,2079.881023598078,1.749442335710389
34241,1,3733.049312356907,3.9742299108974173,2345.1004204939936,2.6494866072649446,3806.871759171037,2.6171757949812258,1857.2794703399522,4.071162347748573
34491,1,3199.210731565482,2.499179538342261,2211.5141183849123,2.975213736121739,3804.3270025958336,2.907208850724671,1856.3570542781092,2.567184423739329
34492,0,3334.505162251654,2.468049743781165,2568.2111216178214,3.3655223778834062,4303.540783227132,3.3655223778834062,2047.2146206211178,2.468049743781165
34493,0,3508.169284059735,1.9035577977719038,1933.7271543937995,3.6899735772193822,4127.2471387675805,3.6314025680571698,1938.2011772613225,1.9328433023530098
34494,0,3063.132762263148,3.1523923697868996,1994.3916670278795,3.8625466948487834,3615.8408091577926,3.7239799972757335,1644.1997736415306,3.2563173929666878
34495,0,3957.2647888011006,3.348838201865939,1988.66529160853,3.160171260915745,3643.274665388267,3.113004525678197,2279.6592273264464,3.3960049371034877
34501,1,3002.5002202304036,2.784646867517606,1929.766060719795,2.956009751672535,3253.0668655759832,2.891748670114437,1655.6562513272218,2.8489079490757048
34502,0,3771.339179350544,3.362248576579842,2375.6949506411947,4.15257792326594,4392.308947304671,4.045414622020368,1828.870278226014,3.429225639858325
34503,1,4219.968835752594,3.8564121961845705,2215.3981649801067,2.3058959523577847,3684.1308891576778,2.146868645298627,2068.450955983055,3.916047436331755
34504,1,4061.761099029479,4.199005358441282,1991.3572104179168,2.748833404752798,3538.913066229851,2.683900332199582,2364.498261205047,4.220649715959021
34505,1,4674.677828751569,5.063862523435367,1948.0765534889185,2.57741505683836,3325.210396075253,2.456124936516555,1980.4733790079013,5.15483011367672
