match_id,t1_win,avg10_t1_All_Damage_Done,avg10_t2_All_Damage_Done,avg10_t1_Assists,avg10_t2_Assists,avg10_t1_Average_Time_Alive,avg10_t2_Average_Time_Alive,avg10_t1_Barrier_Damage_Done,avg10_t2_Barrier_Damage_Done,avg10_t1_Damage_Blocked,avg10_t2_Damage_Blocked,avg10_t1_Damage_Done,avg10_t2_Damage_Done,avg10_t1_Damage_Taken,avg10_t2_Damage_Taken,avg10_t1_Deaths,avg10_t2_Deaths,avg10_t1_Eliminations,avg10_t2_Eliminations,avg10_t1_Final_Blows,avg10_t2_Final_Blows,avg10_t1_Hero_Damage_Done,avg10_t2_Hero_Damage_Done,avg10_t1_Multikills,avg10_t2_Multikills,avg10_t1_Objective_Kills,avg10_t2_Objective_Kills,avg10_t1_Objective_Time,avg10_t2_Objective_Time,avg10_t1_Offensive_Assists,avg10_t2_Offensive_Assists,avg10_t1_Time_Alive,avg10_t2_Time_Alive,avg10_t1_Time_Building_Ultimate,avg10_t2_Time_Building_Ultimate,avg10_t1_Time_Elapsed_per_Ultimate_Earned,avg10_t2_Time_Elapsed_per_Ultimate_Earned,avg10_t1_Time_Holding_Ultimate,avg10_t2_Time_Holding_Ultimate,avg10_t1_Time_Played,avg10_t2_Time_Played,avg10_t1_Ultimates_Earned_-_Fractional,avg10_t2_Ultimates_Earned_-_Fractional,avg10_t1_Ultimates_Used,avg10_t2_Ultimates_Used,avg10_t1_Damage_-_Quick_Melee,avg10_t2_Damage_-_Quick_Melee,avg10_t1_Defensive_Assists,avg10_t2_Defensive_Assists,avg10_t1_Environmental_Kills,avg10_t2_Environmental_Kills,avg10_t1_Healing_Done,avg10_t2_Healing_Done,avg10_t1_Knockback_Kills,avg10_t2_Knockback_Kills,avg10_t1_Melee_Final_Blows,avg10_t2_Melee_Final_Blows,avg10_t1_Melee_Percentage_of_Final_Blows,avg10_t2_Melee_Percentage_of_Final_Blows,avg10_t1_Shots_Fired,avg10_t2_Shots_Fired,avg10_t1_Weapon_Accuracy,avg10_t2_Weapon_Accuracy,avg10_t1_Environmental_Deaths,avg10_t2_Environmental_Deaths,avg10_t1_Solo_Kills,avg10_t2_Solo_Kills,avg10_t1_Turrets_Destroyed,avg10_t2_Turrets_Destroyed,avg10_t1_Teleporter_Pads_Destroyed,avg10_t2_Teleporter_Pads_Destroyed,avg10_t1_Recon_Assists,avg10_t2_Recon_Assists
37259,0,59218.195935420736,66070.41221631294,55.813092067637,75.79555712888975,360.98419772815936,489.0398210160686,25454.166178859603,25692.111335119233,31351.880422079146,29474.08690876818,32594.851105190686,37570.30458823955,37914.84655460595,32828.24462286867,38.8165125902496,28.02138778704409,83.83447985468109,114.152702706237,27.56202077414173,38.35714557734724,32594.851105190686,37570.30458823955,1.8374680516094488,2.985885583865354,40.88366414831023,47.54448583539448,409.41155148307445,422.56920132321363,23.42771765802047,25.4948692160811,3225.798602352665,3329.4777398745114,3012.51334031453,2788.5935047223993,616.0771489088917,577.5770742946355,451.02400246576724,676.9000520089331,600,600,28.658972259715952,30.2935469832835,22.968350645118107,25.4948692160811,604.4847694861663,454.46905795114094,34.45252596767716,43.41018271927323,0.4593670129023622,0,20701.541395941607,18885.090475422625,8.72797324514488,11.943542335461416,2.0671515580606297,2.0671515580606297,0.4249144869346849,0.3614035173478054,10092.522956971348,9308.383465947016,1.617213638792716,1.2887927873014289,0.2296835064511811,0.4593670129023622,1.3781010387070867,3.445252596767716,0,3.9046196096700783,0,0.9187340258047244,1.3781010387070867,1.6077845451582675
37258,0,68619.03406819886,76466.61823085095,25.539672069497573,111.58872104211247,412.8625463696561,1178.6819566342278,13500.331431847193,13499.640670043626,31410.416233366355,34657.435051745495,54892.46149347474,62569.104932771435,62715.084133213466,55038.024951521846,46.75724578877248,12.180458986991148,37.72013105648872,157.5601307672081,12.180458986991148,45.578491693257206,54892.46149347474,62569.104932771435,0,4.3220983502226655,16.89547536905224,68.36773753988581,417.1300462939747,745.9053980676666,3.5362622865458175,15.323803241698542,3146.8240311130035,3474.3581552907344,2941.2418409512593,2955.4356124292576,494.5103692817231,539.429140289676,511.46298838964225,456.0387550447147,600,600,52.4409787033371,47.922955838190084,51.47226217083357,49.11475397980302,571.6957363249072,568.7113397826987,12.966295050667998,53.436852330025694,0,0.39291803183842416,33982.10426467886,41583.07310398213,5.500852445737938,24.360917973982296,0,2.357508191030545,0,0.3715471987158991,28916.01671708515,31418.511661864075,2.246520739796433,1.9105479768187652,1.1787540955152724,0,0.7858360636768483,2.357508191030545,0,0,0,0,0,0
37257,0,73833.67609906955,71170.81868776979,65.70196707643137,72.46540486371107,418.04783620472915,458.9390966951617,20890.647882198264,18684.557771951873,33105.94630410285,35003.04392805645,52129.86466695655,51856.87096824056,52110.835954553026,52351.3697620497,31.723743907002405,31.723743907002405,96.94260828434237,103.38397760556114,30.75753850881959,30.75753850881959,52129.86466695655,51856.87096824056,1.1272396312132833,2.0934450293960976,46.699927578836025,45.73372218065322,628.3956934241752,597.7978999788485,15.137217904864091,19.807210662747693,3286.676749335905,3295.125732545588,2998.5451077022394,2877.2227181810636,363.6735200075004,362.5144273348978,423.39572671517993,543.8876626602665,600,600,46.744965668325975,45.77682252068348,44.92855101550087,45.57268794762274,490.21391090351807,537.9329636343501,35.10546280064226,36.232702431855536,0.4831026990914072,0.16103423303046904,32159.470133635135,32501.093949356455,12.721704409407057,13.204807108498462,1.4493080972742216,2.898616194548443,0.31566838756870147,0.7641515865293964,21706.931509808135,22830.30631942869,1.26868476642071,1.1489698699387925,0.9662053981828144,0.8051711651523453,2.737581961517974,1.6103423303046907,0,0,0,0,0.3220684660609381,0.9662053981828144
37314,1,66343.80368197542,63439.79110724978,68.6151791846482,53.34346218743809,498.8469696343486,393.01217083415196,18427.860611943048,20993.669312866794,27210.26215280768,22260.07471869236,36118.45747826568,35015.1063192213,35291.45035515554,36454.343321181645,29.683055572042168,35.92079913428291,103.89069450214757,83.02651775948026,35.060420711904875,29.467960966447656,36118.45747826568,35015.1063192213,1.505662239161559,1.2905676335670506,32.264190839176266,29.037771755258643,413.7970787281671,291.6861467471329,24.520785037773965,15.917000813993624,3306.947162678638,3235.3632453232162,2928.8899865786684,2909.16667101512,501.7432817432358,532.2134220339206,534.2397367011513,563.1966337624091,600,600,31.140873351464073,29.60243565635368,26.671731093719046,23.87550122099044,598.0562737935444,430.85948683870333,36.566082951066434,33.769853078337825,0.21509460559450846,0.21509460559450846,18410.760976885373,18114.576335545564,13.766054758048542,14.411338574832065,1.7207568447560677,1.935851450350576,0.22175229576767178,0.16838903544783024,9965.54817179917,10902.285179163255,1.4629875557215757,1.476950033449614,0.21509460559450846,0.8603784223780339,4.08679750629566,1.505662239161559,3.6566082951066434,19.573609109100268,0.6452838167835253,3.6566082951066434,0,0.8603784223780339
37313,0,55876.07853050859,55234.2571238298,59.27624468214919,86.32624929766516,324.5394240767665,455.18303709785937,12471.594133986198,11691.583984052688,18449.253548993227,22859.546370494983,40188.89590667201,39712.00294772089,39890.837202522576,40335.84053871589,41.409883608938024,30.556486695305075,89.83273137745427,126.73428088380629,29.721610009641,39.573154900477064,40188.89590667201,39712.00294772089,1.335802697062517,1.335802697062517,34.563894786492625,44.5824150144615,415.66157071728423,519.3383973669222,14.025928319156426,26.549078604117522,3190.8642252864006,3294.298603456452,2840.878895713345,2880.074854500222,467.6893030310418,428.05026901638155,637.4462346274202,575.902129026184,600,600,31.307382826359284,35.429473566034545,26.382103266984707,31.55833871810196,485.2576102425429,1123.0132233327781,33.395067426562925,40.741982260406765,0.834876685664073,0.834876685664073,19889.590889127652,20836.99121048361,14.693829667687686,30.556486695305075,1.8367287084609607,6.845988822445399,0.33228397905065876,0.9074599973749778,20502.400720526904,19977.096309907072,1.4567561125890278,1.45505291785661,1.669753371328146,0.834876685664073,2.1706793827265902,1.8367287084609607,1.0018520227968877,5.677161462515696,0,0.16697533713281462,0,0
37312,1,71732.47640725055,80743.91427886972,64.06467297161161,47.57744095685863,464.71918242438704,402.1929665676702,22833.620472256414,26644.450742759505,36478.63844773957,29660.573149352025,34418.841544678515,38138.66946521288,38329.672586133696,34617.21068450454,26.850634995454868,32.18935774308917,95.78296694285069,74.27105469503013,31.404251456672363,25.594464937187976,34418.841544678515,38138.66946521288,2.669361373817151,1.0991488009835326,40.98254815095743,32.81744277222261,522.212048780798,425.6328241969403,24.6523373934878,17.42935955845316,3337.377009205074,3291.548312542188,2779.2257740512073,2788.1014007865947,432.1650622280656,438.7866775254452,673.0341110477593,677.0532272541127,600,600,31.972961311460285,31.621747899985042,27.635741281871677,27.635741281871677,589.3135659420001,492.0022268255178,37.99914426257356,27.164677510021594,0.3140425145667236,1.0991488009835326,23204.82045780679,19105.492611278365,12.561700582668944,12.404679325385583,3.140425145667236,0.6280850291334472,0.7555236868011692,0.13085104773613482,10104.003863669766,15572.26914856284,1.2936339217137176,1.2167658450891412,1.2561700582668944,0.6280850291334472,2.512340116533789,2.983403888383874,4.2395739466507685,12.561700582668944,0.785106286416809,2.8263826311005125,1.2561700582668944,1.570212572833618
37311,1,45919.44309405011,50147.5862280083,55.63159512803794,47.52839359678311,436.48165983015537,436.9582664456419,12826.26321006611,12924.156999131574,21165.019456690185,17471.448420501878,31262.047371892953,35051.1731999808,35213.51993236448,31414.486809349008,26.958728171290094,26.335404976578182,81.49950770858219,74.33129096939523,25.556250983188296,26.335404976578182,31262.047371892953,35051.1731999808,1.090815590745842,0.15583079867797742,26.958728171290094,24.309604593764476,315.500810181829,318.8670671919911,16.20640306250965,17.29721865325549,3334.8047487616222,3334.5803523448485,2687.800704546326,2865.6260904385013,454.6667013408225,453.80388688211417,798.862405466513,629.4135482558981,600,600,28.578360039329116,30.824900633836215,21.81631181491684,24.46543539244245,630.9699772118375,1208.4461785577842,27.893712963357956,26.958728171290094,0.31166159735595483,0.4674923960339322,20406.693552343182,15895.649190653585,15.11558747176381,11.687309900848307,2.181631181491684,4.5190931616613454,0.28588093203354487,0.5924898668642468,22677.900300807374,20897.84508750884,1.058995122654711,1.1226555719219582,0.6233231947119097,0.7791539933898871,1.090815590745842,2.804954376203593,1.869969584135729,3.584108369593481,0.15583079867797742,0.31166159735595483,0,0
37310,0,62127.94265243434,76003.305495789,46.65689040011868,73.74798805180049,319.02275390436404,518.9891116744186,20010.405658737538,17800.324067922804,25699.575889556716,26893.879981926686,35068.42669498658,36983.24430458746,37181.200712990445,35504.44587659245,41.281672612086574,25.37102795951154,71.59790093658765,114.81465195236578,24.941010536468973,41.06666390056529,35068.42669498658,36983.24430458746,1.5050609806489894,2.795113249776695,17.20069692170274,21.070853729085854,242.48382201693164,282.5356459868857,16.555670787138887,31.821289305150064,3199.9605592964713,3340.1311931575733,2889.98119774061,2817.31642152786,499.87267847418116,484.959814040387,592.8364423912005,641.9319629989792,600,600,31.835484098053534,30.67851989583666,24.5109931134264,26.231062805596675,586.0227861368766,577.1042922397588,25.586036671032822,48.16195138076766,0,0,16974.391089628785,21747.598075982463,11.18045299910678,20.855845017564572,2.3650958267341267,4.300174230425685,0.3250726948000369,0.49742094768614564,14988.472288860245,14531.793785589038,1.597511220644868,1.2342703723571702,0.21500871152128423,0.43001742304256846,1.7200696921702738,2.3650958267341267,4.730191653468253,0.21500871152128423,1.2900522691277054,0.21500871152128423,0,0
37309,1,56553.95460063101,54619.73637327584,68.68591546891444,69.38679215737275,416.69900894500984,383.3964181839026,12340.765413887766,15833.863846981294,22728.295003685616,20488.736077188827,37036.7216161314,34462.13817422658,34967.292036954175,37340.52086509539,37.14646448829047,38.548217865207086,106.70847581777781,105.65716078509034,37.6721220046342,35.744711111373846,37036.7216161314,34462.13817422658,0.525657516343733,1.051315032687466,36.97124531617589,29.086382571019893,394.2371916663593,404.27374612823456,20.675862309520163,22.603273202780517,3233.617879091433,3219.166677064987,3006.121881974626,2865.543535832689,503.85520965004093,504.5379747988981,476.0440465191082,603.4779754219448,600,600,33.027975536825984,31.381942172281004,29.086382571019893,25.056341612384607,828.7339454080781,834.7236692143745,35.744711111373846,34.34295773445722,0.3504383442291554,0.525657516343733,16169.212913930265,17892.8856769791,15.944944662426568,21.72717734220763,1.7521917211457767,5.431794335551907,0.21956951934211363,0.6745199051204185,17198.9882772506,15646.195973971213,1.4536953689636234,1.491913389800704,1.4017533769166215,0.7008766884583107,2.9787259259478205,2.4530684096040876,2.2778492374895096,6.658328540353952,0.7008766884583107,0.8760958605728884,0,0
37308,0,77914.77551515416,65887.55162364198,49.59148598281125,54.61340861398202,329.82964991686316,363.5706822262738,26337.70403374531,17349.361696981778,25936.237873649654,37532.88384895009,38828.95741311614,35221.4133675287,35337.17635417324,39035.21296763492,28.09137971811144,25.737353484750145,74.70109913866506,82.54785324986938,24.795742991405625,27.14976922476692,38828.95741311614,35221.4133675287,2.0401560689131215,0.3138701644481725,28.40524988255961,24.481872826957456,333.3908584774257,422.4245273773038,17.733664291321748,14.124157400167762,3334.135513729086,3343.6362071015506,2930.586507822698,2968.1478220281474,373.80690115373613,361.3829174832162,564.5141825334032,497.5011742069589,600,600,30.64799203227376,32.41757275246461,26.208158731422404,27.30670430699101,485.8906193843119,228.69490455937103,28.09137971811144,34.839588253747145,0.3138701644481725,0.7846754111204313,18816.381598946668,24469.714325464574,13.496417071271418,12.397871495702812,2.0401560689131215,0.3138701644481725,0.2734109101498416,0.0448385949211675,15607.193927185377,18094.92885060159,1.2338189094765168,0.8344938257860826,0.9416104933445175,0.9416104933445175,1.25548065779269,2.1970911511372075,12.08400133125464,0,1.7262859044649486,0,0,0
